k,MAP,c,h3,d,pkx,optwL,p50,pxmin,pxgs50,slope
0.05,1825,2.64,25,1,0.5,0.248451443,-0.870375413,-0.703880933,-0.703880933,0.12541889
0.05,1825,2.64,25,2,0.5,,,,,
0.05,1825,2.64,25,3,0.5,,,,,
0.05,1825,2.64,25,4,0.5,,,,,
0.05,1825,2.64,25,5,0.5,0.153965652,-4.351877063,-5.724540428,-4.344923609,0.611992246
0.05,1825,2.64,25,6,0.5,,,,,
0.05,1825,2.64,25,7,0.5,,,,,
0.05,1825,2.64,25,8,0.5,,,,,
0.05,1825,2.64,25,9,0.5,,,,,
0.05,1825,2.64,25,10,0.5,0.127050777,-8.703754125,-13.28117179,-7.779943048,0.722255986
