"wLi","wLr","averBi"
0.17,0.1776,9.43793913975846
0.171,0.1776,9.45909846372785
0.172,0.1776,9.47418746284521
0.173,0.1776,9.48386264948631
0.174,0.1776,9.48895152599362
0.175,0.1776,9.49063945704173
0.176,0.1776,9.49025116464594
0.177,0.1776,9.4895933030128
0.178,0.1776,9.49058059939684
0.179,0.1776,9.49168014119376
0.18,0.1776,9.4920602089573
0.181,0.1776,9.4915901705096
0.182,0.1776,9.49020396598968
0.183,0.1776,9.48787385999669
0.184,0.1776,9.48459680987252
0.185,0.1776,9.48038426479839
0.186,0.1776,9.4752562644992
0.187,0.1776,9.46923747386955
0.188,0.1776,9.46235545550242
0.189,0.1776,9.45463898097606
0.19,0.1776,9.44611544813707
0.17,0.1777,9.45102704740196
0.171,0.1777,9.47221030090594
0.172,0.1777,9.48725951100578
0.173,0.1777,9.496821780817
0.174,0.1777,9.50174436417918
0.175,0.1777,9.50311522680143
0.176,0.1777,9.50230498479444
0.177,0.1777,9.50107423713303
0.178,0.1777,9.50144920518771
0.179,0.1777,9.50220518949262
0.18,0.1777,9.50229486679978
0.181,0.1777,9.50157179894058
0.182,0.1777,9.49996279638284
0.183,0.1777,9.49743175981711
0.184,0.1777,9.49397211777843
0.185,0.1777,9.48959190771212
0.186,0.1777,9.48430842863321
0.187,0.1777,9.47814587993401
0.188,0.1777,9.47112831750307
0.189,0.1777,9.46328475002025
0.19,0.1777,9.45464076378082
0.17,0.1778,9.46412507735411
0.171,0.1778,9.48533400796479
0.172,0.1778,9.50034910581203
0.173,0.1778,9.50980681306793
0.174,0.1778,9.51454752142696
0.175,0.1778,9.51562283662178
0.176,0.1778,9.51440554128728
0.177,0.1778,9.51261070303559
0.178,0.1778,9.51234326654581
0.179,0.1778,9.51274544294411
0.18,0.1778,9.51253689137175
0.181,0.1778,9.5115565116387
0.182,0.1778,9.50971873357303
0.183,0.1778,9.50698330286707
0.184,0.1778,9.50333783223476
0.185,0.1778,9.49878681423869
0.186,0.1778,9.49334563828455
0.187,0.1778,9.48704032508419
0.188,0.1778,9.47988229706523
0.189,0.1778,9.47191073217833
0.19,0.1778,9.46314552862875
0.17,0.1779,9.47723171098214
0.171,0.1779,9.49847060373692
0.172,0.1779,9.51345745537527
0.173,0.1779,9.52281524684021
0.174,0.1779,9.52736925362522
0.175,0.1779,9.52816996596128
0.176,0.1779,9.52655236187793
0.177,0.1779,9.52420957294665
0.178,0.1779,9.52326467222095
0.179,0.1779,9.52330225326984
0.18,0.1779,9.52278712979965
0.181,0.1779,9.52154284613242
0.182,0.1779,9.51947232372964
0.183,0.1779,9.51652834089438
0.184,0.1779,9.51269366357297
0.185,0.1779,9.50796925145009
0.186,0.1779,9.50236840314795
0.187,0.1779,9.49591003109037
0.188,0.1779,9.48861738977354
0.189,0.1779,9.4805153942687
0.19,0.1779,9.47162870014434
0.17,0.178,9.4903482105721
0.171,0.178,9.51162155335889
0.172,0.178,9.52658025630501
0.173,0.178,9.53584517301407
0.174,0.178,9.54022467507153
0.175,0.178,9.54075316618779
0.176,0.178,9.5387447697911
0.177,0.178,9.53586270594099
0.178,0.178,9.53421498603049
0.179,0.178,9.53387563310185
0.18,0.178,9.53304692216876
0.181,0.178,9.53153221650161
0.182,0.178,9.52922412714389
0.183,0.178,9.52606758464846
0.184,0.178,9.52204041924179
0.185,0.178,9.5171401335368
0.186,0.178,9.51137667787681
0.187,0.178,9.50476758158965
0.188,0.178,9.49733405953179
0.189,0.178,9.48910048529105
0.19,0.178,9.48008942610131
